system,category,capex_per_sqft,opex_per_month,labour_per_month,payback_period_months,expected_life_years,min_area_sqft,ideal_area_sqft,max_area_sqft,water_use_litres_per_day_per_sqft,electricity_use_kwh_per_day_per_sqft,productivity_kg_per_sqft_per_month,suitable_crops
Hydroponics - NFT,hydroponics,850,35,45,12,7,50,200,500,2.8,0.12,1.2,"Lettuce, Spinach, Herbs, Kale"
Hydroponics - DWC,hydroponics,700,30,35,15,8,30,150,400,3.2,0.08,0.9,"Lettuce, Basil, Cilantro, Mint"
Hydroponics - Drip,hydroponics,950,40,50,14,8,75,300,800,2.0,0.14,1.5,"Tomatoes, Bell Peppers, Cucumbers"
Aquaponics - Media Bed,aquaponics,1200,45,60,18,10,100,300,600,1.8,0.18,1.1,"Leafy Greens, Herbs, Strawberries"
Aquaponics - DWC,aquaponics,1400,50,65,20,10,150,450,900,2.0,0.22,1.3,"Lettuce, Kale, Herbs"
Vertical Farming - Indoor,vertical farming,1800,75,90,24,12,40,120,250,1.5,0.45,2.5,"Lettuce, Microgreens, Herbs, Kale"
Vertical Farming - Containerized,vertical farming,2200,90,100,30,15,100,250,500,1.3,0.55,3.0,"Leafy Greens, Herbs, Edible Flowers"
Microgreens - Soil Based,microgreens,250,25,40,3,5,10,30,100,1.0,0.05,0.4,"Sunflower, Radish, Pea Shoots, Arugula"
Microgreens - Hydroponic,microgreens,350,30,45,4,5,10,25,80,1.2,0.08,0.5,"Wheatgrass, Sunflower, Cilantro, Basil"
Protected Cultivation - Greenhouse,protected cultivation,650,25,55,16,15,400,1000,5000,1.8,0.06,0.8,"Tomatoes, Cucumbers, Bell Peppers, Flowers"
Protected Cultivation - Polytunnel,protected cultivation,350,15,45,12,8,300,800,3000,1.5,0.02,0.7,"Mixed Vegetables, Herbs, Strawberries"
Indoor Mushroom Farming,specialty,450,20,60,8,5,50,150,400,0.5,0.15,1.8,"Oyster Mushrooms, Shiitake, Button Mushrooms"
Small Container Garden,container gardening,120,10,25,6,3,15,30,100,1.2,0.0,0.4,"Herbs, Leafy Greens, Dwarf Vegetables"
Rooftop Garden - Intensive,rooftop farming,550,30,50,18,10,200,500,1500,1.8,0.0,0.6,"Vegetables, Herbs, Small Fruits"
Rooftop Garden - Extensive,rooftop farming,350,15,30,15,8,300,800,2000,1.0,0.0,0.4,"Herbs, Leafy Greens, Flowering Plants"
Aeroponics System,aeroponics,1100,55,65,18,7,50,150,300,1.0,0.25,1.8,"Lettuce, Herbs, Leafy Greens, Root Vegetables"
