crop,avg_price,category,system,capex_per_sqft,opex_per_month,labour_per_month,payback_period_months,expected_life_years,min_area_sqft,ideal_area_sqft,max_area_sqft,water_use_litres_per_day_per_sqft,electricity_use_kwh_per_day_per_sqft,productivity_kg_per_sqft_per_month,suitable_crops,avg_subsidy_pct,revenue_per_sqft_month,monthly_cost_per_sqft,roi_percent,subsidized_capex,subsidized_monthly_cost,subsidized_roi_percent
Artichoke,7100.0,specialty,Indoor Mushroom Farming,450,20,60,8,5,50,150,400,0.5,0.15,1.8,"Oyster Mushrooms, Shiitake, Button Mushrooms",0.0,127.8,27.5,364.7272727272727,450.0,27.5,364.7272727272727
Asparagus,5050.0,specialty,Indoor Mushroom Farming,450,20,60,8,5,50,150,400,0.5,0.15,1.8,"Oyster Mushrooms, Shiitake, Button Mushrooms",0.0,90.9,27.5,230.54545454545456,450.0,27.5,230.54545454545456
Broccoli,3300.0,protected cultivation,Protected Cultivation - Greenhouse,650,25,55,16,15,400,1000,5000,1.8,0.06,0.8,"Tomatoes, Cucumbers, Bell Peppers, Flowers",0.0,26.4,28.61111111111111,-7.728155339805828,650.0,28.61111111111111,-7.728155339805828
Broccoli,3300.0,protected cultivation,Protected Cultivation - Polytunnel,350,15,45,12,8,300,800,3000,1.5,0.02,0.7,"Mixed Vegetables, Herbs, Strawberries",0.0,23.1,18.645833333333332,23.888268156424598,350.0,18.645833333333332,23.888268156424598
Brussels Sprout,6550.0,protected cultivation,Protected Cultivation - Greenhouse,650,25,55,16,15,400,1000,5000,1.8,0.06,0.8,"Tomatoes, Cucumbers, Bell Peppers, Flowers",0.0,52.4,28.61111111111111,83.14563106796116,650.0,28.61111111111111,83.14563106796116
Brussels Sprout,6550.0,protected cultivation,Protected Cultivation - Polytunnel,350,15,45,12,8,300,800,3000,1.5,0.02,0.7,"Mixed Vegetables, Herbs, Strawberries",0.0,45.85,18.645833333333332,145.89944134078215,350.0,18.645833333333332,145.89944134078215
Cauliflower,3300.0,protected cultivation,Protected Cultivation - Greenhouse,650,25,55,16,15,400,1000,5000,1.8,0.06,0.8,"Tomatoes, Cucumbers, Bell Peppers, Flowers",0.0,26.4,28.61111111111111,-7.728155339805828,650.0,28.61111111111111,-7.728155339805828
Cauliflower,3300.0,protected cultivation,Protected Cultivation - Polytunnel,350,15,45,12,8,300,800,3000,1.5,0.02,0.7,"Mixed Vegetables, Herbs, Strawberries",0.0,23.1,18.645833333333332,23.888268156424598,350.0,18.645833333333332,23.888268156424598
Cucumber,4100.0,protected cultivation,Protected Cultivation - Greenhouse,650,25,55,16,15,400,1000,5000,1.8,0.06,0.8,"Tomatoes, Cucumbers, Bell Peppers, Flowers",0.0,32.8,28.61111111111111,14.640776699029118,650.0,28.61111111111111,14.640776699029118
Cucumber,4100.0,protected cultivation,Protected Cultivation - Polytunnel,350,15,45,12,8,300,800,3000,1.5,0.02,0.7,"Mixed Vegetables, Herbs, Strawberries",0.0,28.7,18.645833333333332,53.92178770949722,350.0,18.645833333333332,53.92178770949722
Kale,3150.0,hydroponics,Hydroponics - NFT,850,35,45,12,7,50,200,500,2.8,0.12,1.2,"Lettuce, Spinach, Herbs, Kale",0.0,37.8,45.11904761904762,-16.221635883905023,850.0,45.11904761904762,-16.221635883905023
Kale,3150.0,hydroponics,Hydroponics - DWC,700,30,35,15,8,30,150,400,3.2,0.08,0.9,"Lettuce, Basil, Cilantro, Mint",0.0,28.35,37.291666666666664,-23.977653631284905,700.0,37.291666666666664,-23.977653631284905
Kale,3150.0,hydroponics,Hydroponics - Drip,950,40,50,14,8,75,300,800,2.0,0.14,1.5,"Tomatoes, Bell Peppers, Cucumbers",0.0,47.25,49.895833333333336,-5.302713987473909,950.0,49.895833333333336,-5.302713987473909
Leek,5500.0,specialty,Indoor Mushroom Farming,450,20,60,8,5,50,150,400,0.5,0.15,1.8,"Oyster Mushrooms, Shiitake, Button Mushrooms",0.0,99.0,27.5,260.0,450.0,27.5,260.0
Romaine Lettuce,3200.0,hydroponics,Hydroponics - NFT,850,35,45,12,7,50,200,500,2.8,0.12,1.2,"Lettuce, Spinach, Herbs, Kale",0.0,38.4,45.11904761904762,-14.89182058047494,850.0,45.11904761904762,-14.89182058047494
Romaine Lettuce,3200.0,hydroponics,Hydroponics - DWC,700,30,35,15,8,30,150,400,3.2,0.08,0.9,"Lettuce, Basil, Cilantro, Mint",0.0,28.8,37.291666666666664,-22.770949720670384,700.0,37.291666666666664,-22.770949720670384
Romaine Lettuce,3200.0,hydroponics,Hydroponics - Drip,950,40,50,14,8,75,300,800,2.0,0.14,1.5,"Tomatoes, Bell Peppers, Cucumbers",0.0,48.0,49.895833333333336,-3.7995824634655575,950.0,49.895833333333336,-3.7995824634655575
Zucchini,3600.0,protected cultivation,Protected Cultivation - Greenhouse,650,25,55,16,15,400,1000,5000,1.8,0.06,0.8,"Tomatoes, Cucumbers, Bell Peppers, Flowers",0.0,28.8,28.61111111111111,0.6601941747572855,650.0,28.61111111111111,0.6601941747572855
Zucchini,3600.0,protected cultivation,Protected Cultivation - Polytunnel,350,15,45,12,8,300,800,3000,1.5,0.02,0.7,"Mixed Vegetables, Herbs, Strawberries",0.0,25.2,18.645833333333332,35.15083798882682,350.0,18.645833333333332,35.15083798882682
