crop,price_per_quintal,location,date
Broccoli,3200,"Malkapur Mandi, Kolhapur",2025-04-19
Asparagus,5000,"Kolhapur APMC, Maharashtra",2025-04-19
Artichoke,7200,"Shivaji Market, Kolhapur",2025-04-19
Zucchini,3500,"Ichalkaranji Mandi, Kolhapur",2025-04-19
Brussels Sprout,6500,"Malkapur Mandi, Kolhapur",2025-04-19
Leek,5500,"Kolhapur APMC, Maharashtra",2025-04-19
Romaine Lettuce,2800,"Shivaji Market, Kolhapur",2025-04-19
Kale,3100,"Ichalkaranji Mandi, Kolhapur",2025-04-19
Cucumber,4000,"Malkapur Mandi, Kolhapur",2025-04-19
Cauliflower,3300,"Kolhapur APMC, Maharashtra",2025-04-19
Broccoli,3400,"Shivaji Market, Kolhapur",2025-04-19
Asparagus,5100,"Ichalkaranji Mandi, Kolhapur",2025-04-19
Zucchini,3700,"Malkapur Mandi, Kolhapur",2025-04-19
Brussels Sprout,6600,"Kolhapur APMC, Maharashtra",2025-04-19
Artichoke,7000,"Shivaji Market, Kolhapur",2025-04-19
Cucumber,4200,"Ichalkaranji Mandi, Kolhapur",2025-04-19
Kale,3200,"Malkapur Mandi, Kolhapur",2025-04-19
Romaine Lettuce,3600,"Kolhapur APMC, Maharashtra",2025-04-19
